episode_id,shot,start,end,purpose,action,camera,ai_source_layer,deterministic_overlay,storyboard_reuse_status,asset_status,high_risk,high_risk_reason,candidate_minimum,formal_filename,candidate_a_filename,candidate_b_filename,character_reference,approval_state
HC20260810-008,S02,04.00,09.20,限定为观察字段,饿、渴、场景三个无字形状分开落位,无相机运动,无AI动态源；三枚不同形状色块,后期确定性叠加：一次想吃不等于原因,deterministic-board,deterministic-board,no,,1,HC20260810-008-v01-S02-firstframe.png,HC20260810-008-v01-S02-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-008,S03,09.20,14.50,饥饿线索,人物坐在长椅，双手自然放腿上感受片刻,正面中景固定,人物一次自然呼吸，不做夸张动作,后期确定性叠加：上一餐距离 / 主观饥饿,new,new,yes,手,2,HC20260810-008-v01-S03-firstframe.png,HC20260810-008-v01-S03-candidate-a.png,HC20260810-008-v01-S03-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-008,S04,14.50,19.80,口渴线索,普通水杯放在长椅一侧，人物看向杯子,水杯前景与侧脸中景拉焦,人物只做转眼动作，不喝水,后期确定性叠加：近期饮水 / 当下口渴,new,new,yes,杯+水,2,HC20260810-008-v01-S04-firstframe.png,HC20260810-008-v01-S04-candidate-a.png,HC20260810-008-v01-S04-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-008,S05,19.80,25.20,场景线索,零食摊、休息铃色块、午后日光三张环境板,无相机运动，三板错位切换,无AI动态源；无字场景剪影板,后期确定性叠加：看到食物 / 暂停 / 固定时点,deterministic-board,deterministic-board,yes,食,2,HC20260810-008-v01-S05-firstframe.png,HC20260810-008-v01-S05-candidate-a.png,HC20260810-008-v01-S05-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-008,S06,25.20,30.70,三项点选,人物在黑屏手机依次点按三个空位,越肩近景固定,人物三次轻点；不生成界面,后期确定性叠加：后期饿 / 渴 / 场景点选,new,new,yes,手+手机,2,HC20260810-008-v01-S06-firstframe.png,HC20260810-008-v01-S06-candidate-a.png,HC20260810-008-v01-S06-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-008,S07,30.70,36.20,自主下一步,三个独立结果板：吃一份、喝适量水、离开位置,无相机运动，不让人物三选一连续表演,无AI动态源；三个确定性结果板,后期确定性叠加：记录后自主决定,deterministic-board,deterministic-board,yes,水,2,HC20260810-008-v01-S07-firstframe.png,HC20260810-008-v01-S07-candidate-a.png,HC20260810-008-v01-S07-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-008,S08,36.20,41.80,事实边界,饿与渴两个色块错开，不做因果箭头,顶视确定性图形板,无AI动态源；禁止因果路径,后期确定性叠加：口渴与饥饿可能不同步,deterministic-board,deterministic-board,no,,1,HC20260810-008-v01-S08-firstframe.png,HC20260810-008-v01-S08-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-008,S09,41.80,48.20,避免极端,人物把大水壶留在远处，只拿普通杯；零食保持未隐藏,环境中景固定,人物拿起普通杯后停住,后期确定性叠加：不大量喝水 / 不长时间强忍,new,new,yes,食+杯+水,2,HC20260810-008-v01-S09-firstframe.png,HC20260810-008-v01-S09-candidate-a.png,HC20260810-008-v01-S09-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-008,S10,48.20,56.00,线索参照,三类形状沿社区步道短线排列,无相机运动,无AI动态源；确定性结束板,后期确定性叠加：三类线索 / 下次参照,deterministic-board,deterministic-board,no,,1,HC20260810-008-v01-S10-firstframe.png,HC20260810-008-v01-S10-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-009,S01,00.00,04.00,工作对比钩子,同一办公位在较早与较晚日光下匹配切换,固定广角匹配构图,两段环境动态源：人物坐定准备开始,后期确定性叠加：同一难任务 / 两个时点,new,new,yes,cover,2,HC20260810-009-v01-S01-firstframe.png,HC20260810-009-v01-S01-candidate-a.png,HC20260810-009-v01-S01-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-009,S02,04.00,09.30,拒绝统一时段,黄金色时钟轮廓淡出，个人路径色块留下,无相机运动,无AI动态源；确定性图形板,后期确定性叠加：不追统一黄金时段,deterministic-board,deterministic-board,no,,1,HC20260810-009-v01-S02-firstframe.png,HC20260810-009-v01-S02-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-009,S03,09.30,14.60,截取小段,人物从纯色任务卡中只拖出一个小色块,越肩中景，屏幕纯色无界面,人物完成一次拖动；任务卡由后期叠加,后期确定性叠加：只截同类任务一小段,new,new,yes,屏幕,2,HC20260810-009-v01-S03-firstframe.png,HC20260810-009-v01-S03-candidate-a.png,HC20260810-009-v01-S03-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-009,S04,14.60,19.90,记录开始,人物坐直，手离键盘，准备开始,侧面半身中景固定,人物只做坐直动作,后期确定性叠加：开始时间 / 任务类型,new,new,yes,手+盘+键盘,2,HC20260810-009-v01-S04-firstframe.png,HC20260810-009-v01-S04-candidate-a.png,HC20260810-009-v01-S04-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-009,S05,19.90,25.30,记录清醒感,人物看向窗外一秒再回到屏幕,三分之二侧脸近景,人物只做一次视线往返,后期确定性叠加：开始前主观清醒感,new,new,yes,屏幕,2,HC20260810-009-v01-S05-firstframe.png,HC20260810-009-v01-S05-candidate-a.png,HC20260810-009-v01-S05-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-009,S06,25.30,30.80,记录完成反馈,人物完成小段后收回双手,桌面手部转正面中景，不跟随走动,人物结束输入并收手,后期确定性叠加：启动 / 返工 / 完成感,new,new,yes,手,2,HC20260810-009-v01-S06-firstframe.png,HC20260810-009-v01-S06-candidate-a.png,HC20260810-009-v01-S06-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-009,S07,30.80,36.30,换时点再比,第二个下午人物在同构图重新开始同类小段,固定中景，光线匹配切换,人物只完成开始输入动作,后期确定性叠加：下次换时点,new,new,no,,1,HC20260810-009-v01-S07-firstframe.png,HC20260810-009-v01-S07-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-009,S08,36.30,41.90,保留不确定并暂停,两次记录色块并列，困倦状态旁出现中性暂停图形,无相机运动,无AI动态源；确定性对照与暂停信息板,后期确定性叠加：一两次不成规律 / 困倦就暂停,deterministic-board,deterministic-board,no,,1,HC20260810-009-v01-S08-firstframe.png,HC20260810-009-v01-S08-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-009,S09,41.90,48.30,影响因素,人物在普通办公位停下输入，视线转向窗光,办公位侧面中景固定,人物只完成停手并转移视线一次,后期确定性叠加：睡眠 / 环境 / 任务类型,new,new,yes,手,2,HC20260810-009-v01-S09-firstframe.png,HC20260810-009-v01-S09-candidate-a.png,HC20260810-009-v01-S09-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-009,S10,48.30,56.00,排活依据,一周日程色块中仅移动一个难任务块,无相机运动,无AI动态源；确定性结束板,后期确定性叠加：个人对比 / 下周排活,deterministic-board,deterministic-board,no,,1,HC20260810-009-v01-S10-firstframe.png,HC20260810-009-v01-S10-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-010,S01,00.00,04.00,每周总结钩子,周末客厅里七块记录色板围成一圈，重复与例外用不同位置表示,俯视确定性构图，低幅淡入,无AI动态源；七块无字记录板,后期确定性叠加：七天回看 / 重复与例外,deterministic-board,deterministic-board,yes,cover,2,HC20260810-010-v01-S01-firstframe.png,HC20260810-010-v01-S01-candidate-a.png,HC20260810-010-v01-S01-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-010,S02,04.00,09.30,不打分,人物坐在沙发上放松看向黑屏手机,正面中远景固定,人物只抬起手机看一眼,后期确定性叠加：这一周不打分,new,new,yes,手+手机,2,HC20260810-010-v01-S02-firstframe.png,HC20260810-010-v01-S02-candidate-a.png,HC20260810-010-v01-S02-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-010,S03,09.30,15.00,字段一,夜晚关灯与早晨拉帘两张生活板上下切换,无相机运动,无AI动态源；确定性日夜剪影板,后期确定性叠加：前一晚大致睡起,deterministic-board,deterministic-board,no,,1,HC20260810-010-v01-S03-firstframe.png,HC20260810-010-v01-S03-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-010,S04,15.00,20.70,字段二,午餐后人物收好餐具并离开餐桌,餐桌侧面全身中景,人物收一只餐具后离开一步,后期确定性叠加：午餐结束 / 饭后安排,new,new,yes,餐+餐具,2,HC20260810-010-v01-S04-firstframe.png,HC20260810-010-v01-S04-candidate-a.png,HC20260810-010-v01-S04-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-010,S05,20.70,26.40,字段三,午后人物先倚椅发沉，另一时点顺畅完成一小事,相同房间两个机位硬切,两条独立人物源：短暂停顿；完成小动作,后期确定性叠加：发沉时点 / 做事较顺时点,new,new,no,,1,HC20260810-010-v01-S05-firstframe.png,HC20260810-010-v01-S05-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-010,S06,26.40,32.10,缺失处理,七块色板中一块保持暖米白空白,无相机运动,无AI动态源；确定性缺失板,后期确定性叠加：漏记留空 / 不补猜,deterministic-board,deterministic-board,no,,1,HC20260810-010-v01-S06-firstframe.png,HC20260810-010-v01-S06-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-010,S07,32.10,37.80,找重复例外,相同颜色色块靠拢，一块例外色保持距离,无相机运动,无AI动态源；确定性聚类板,后期确定性叠加：只圈重复与反常一天,deterministic-board,deterministic-board,no,,1,HC20260810-010-v01-S07-firstframe.png,HC20260810-010-v01-S07-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-010,S08,37.80,43.50,下周只改一项,人物在三个生活物件中只移动一个位置,俯拍家中置物台固定,人物只移动一个普通生活物件,后期确定性叠加：下一周只改一件,new,new,no,,1,HC20260810-010-v01-S08-firstframe.png,HC20260810-010-v01-S08-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-010,S09,43.50,50.20,七天边界,工作日与周末两组色块被一条短线连接，不出现结论章,无相机运动,无AI动态源；确定性边界板,后期确定性叠加：七天是编辑观察窗 / 不是期限,deterministic-board,deterministic-board,no,,1,HC20260810-010-v01-S09-firstframe.png,HC20260810-010-v01-S09-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-010,S10,50.20,57.00,下一轮与安全,同组字段沿路径进入下一周，安全提示停在路径起点,无相机运动,无AI动态源；确定性结束板,后期确定性叠加：同组字段继续 / 当下安全优先,deterministic-board,deterministic-board,no,,1,HC20260810-010-v01-S10-firstframe.png,HC20260810-010-v01-S10-candidate-a.png,,not-applicable,matrix-locked-pending-generation
